SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Struthio camelus,Common Ostrich,ostric2,species,1.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Struthio molybdophanes,Somali Ostrich,ostric3,species,6.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,,struth1
Rhea americana,Greater Rhea,grerhe1,species,8.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,,rheida1
Rhea pennata,Lesser Rhea,lesrhe2,species,14.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,,rheida1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,19.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus bonapartei,Highland Tinamou,higtin1,species,20.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,27.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus tao,Gray Tinamou,grytin1,species,30.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus solitarius,Solitary Tinamou,soltin1,species,35.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus osgoodi,Black Tinamou,blatin1,species,36.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus major,Great Tinamou,gretin1,species,39.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamus guttatus,White-throated Tinamou,whttin1,species,52.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,54.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,55.0,BETI,CRBE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus soui,Little Tinamou,littin1,species,56.0,,CRSO,LITI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,71.0,TETI,CRPT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus obsoletus,Brown Tinamou,brotin1,species,72.0,BRTI,CROB,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus undulatus,Undulated Tinamou,undtin1,species,83.0,UNTI,CRUN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,90.0,PBTI,CRTR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,91.0,BRTI,CRST,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,92.0,GLTI,CRDU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,93.0,RLTI,CRER,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,101.0,YLTI,CRNO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,104.0,BCTI,CRAT,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,107.0,,CRBO,SBTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus kerriae,Choco Tinamou,chotin1,species,110.0,,CRKE,CHTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus variegatus,Variegated Tinamou,vartin1,species,111.0,VATI,CRVA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,112.0,ETTI,CRCI,THTI,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,123.0,RUTI,CRBR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,124.0,BATI,CRBA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,125.0,SBTI,CRPA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus casiquiare,Barred Tinamou,bartin1,species,126.0,BATI,CRCA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,127.0,TATI,CRTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,133.0,RWTI,RHRU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,137.0,HUTI,RHMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,138.0,TATI,NOTA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta ornata,Ornate Tinamou,orntin1,species,139.0,ORTI,NOOR,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,143.0,CHTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,146.0,BRTI,NOCI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,149.0,ANTI,NOPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,157.0,CBTI,NOCU,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura boraquira,White-bellied Nothura,whbnot1,species,161.0,WBNO,NOBO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura minor,Lesser Nothura,lesnot1,species,162.0,LENO,NOMI,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura darwinii,Darwin's Nothura,darnot1,species,163.0,DANO,NODA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Nothura maculosa,Spotted Nothura,sponot1,species,169.0,SPNO,NOMA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,179.0,DWTI,TANA,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,180.0,ELCT ECTI,EUEL,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,191.0,QCTI QUCT,EUFO,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis pentlandii,Puna Tinamou,puntin1,species,194.0,PUTI,TIPE,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,195.0,PATI,TIIN,,Tinamiformes,Tinamous,Tinamidae,,,,tinami1
Casuarius casuarius,Southern Cassowary,soucas1,species,197.0,SOCA,CACA,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,198.0,DWCA,CABE,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,199.0,NOCA,CAUN,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Dromaius novaehollandiae,Emu,emu1,species,200.0,EMU COEM,DRNO,,Casuariiformes,Cassowaries and Emu,Casuariidae,,,,casuar1
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,205.0,TOKO SBKI,APAU,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,208.0,OBKI OBK OKKI,APRO,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,209.0,NIBK NBKI,APMA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,210.0,LSKI,APOW,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Apteryx haastii,Great Spotted Kiwi,grskiw1,species,211.0,GSKI,APHA,,Apterygiformes,Kiwis,Apterygidae,,,,aptery1
Anhima cornuta,Horned Screamer,horscr1,species,213.0,HOSC,ANCO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna torquata,Southern Screamer,souscr1,species,214.0,SOSC,CHTO,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Chauna chavaria,Northern Screamer,norscr1,species,215.0,NOSC,CHCH,,Anseriformes,Screamers,Anhimidae,,,,anhimi1
Anseranas semipalmata,Magpie Goose,maggoo1,species,216.0,MAGO,ANSE,,Anseriformes,Magpie Goose,Anseranatidae,,,,ansera1
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,217.0,SPWD SWDU,DEGU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,218.0,PLWD PWDU,DEEY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,219.0,,DEVI,WFWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,221.0,,DEAU,BBWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,224.0,,DEAR,WIWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,species,226.0,FWDU,DEBI,FUWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,species,229.0,WWDU WAWD,DEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,species,233.0,LEWD LWDU,DEJA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Thalassornis leuconotus,White-backed Duck,whbduc1,species,237.0,WBDU,THLE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser indicus,Bar-headed Goose,bahgoo,species,240.0,BHGO,ANIN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser canagicus,Emperor Goose,empgoo,species,241.0,,ANCA,EMGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser caerulescens,Snow Goose,snogoo,species,242.0,,ANCA,SNGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser rossii,Ross's Goose,rosgoo,species,245.0,,ANRO,ROGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser anser,Graylag Goose,gragoo,species,248.0,,ANAN,GRGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser cygnoides,Swan Goose,swagoo1,species,252.0,SWGO,ANCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser albifrons,Greater White-fronted Goose,gwfgoo,species,255.0,,ANAL,GWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser erythropus,Lesser White-fronted Goose,lwfgoo,species,266.0,,ANER,LWFG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser fabalis,Taiga Bean-Goose,taibeg1,species,268.0,TBGO BG,ANFA,TABG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser serrirostris,Tundra Bean-Goose,tunbeg1,species,272.0,TBGO BG,ANSE,TUBG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anser brachyrhynchus,Pink-footed Goose,pifgoo,species,276.0,,ANBR,PFGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta bernicla,Brant,brant,species,279.0,BRGO,BRBE,BRAN,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta leucopsis,Barnacle Goose,bargoo,species,286.0,BAGO,BRLE,BARG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta hutchinsii,Cackling Goose,cacgoo1,species,292.0,CAGO,BRHU,CACG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta canadensis,Canada Goose,cangoo,species,303.0,CAGO,BRCA,CANG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta sandvicensis,Hawaiian Goose,hawgoo,species,326.0,NENE NH,BRSA,HAGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Branta ruficollis,Red-breasted Goose,rebgoo1,species,327.0,RBGO,BRRU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1,species,332.0,CBGO,CENO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Stictonetta naevosa,Freckled Duck,freduc1,species,335.0,FRDU,STNA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,species,336.0,BWGO,CYCY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus olor,Mute Swan,mutswa,species,337.0,,CYOL,MUSW,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus atratus,Black Swan,blkswa,species,339.0,BLSW,CYAT,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus melancoryphus,Black-necked Swan,blnswa2,species,340.0,BNSW,CYME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus buccinator,Trumpeter Swan,truswa,species,341.0,TRSW,CYBU,TRUS,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus columbianus,Tundra Swan,tunswa,species,343.0,BESW,CYCO,TUSW,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cygnus cygnus,Whooper Swan,whoswa,species,349.0,WHSW,CYCY,WHOS,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Coscoroba coscoroba,Coscoroba Swan,cosswa1,species,353.0,COSW,COCO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sarkidiornis melanotos,Knob-billed Duck,comduc2,species,354.0,KBD ACDU KBDU,SAME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sarkidiornis sylvicola,Comb Duck,comduc3,species,355.0,ACDU,SASY,CODU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Pteronetta hartlaubii,Hartlaub's Duck,harduc1,species,356.0,HADU,PTHA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Oressochen jubatus,Orinoco Goose,origoo1,species,357.0,,ORJU,ORGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Oressochen melanopterus,Andean Goose,andgoo1,species,358.0,ANGO,ORME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chloephaga picta,Upland Goose,uplgoo1,species,359.0,UPGO,CHPI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chloephaga hybrida,Kelp Goose,kelgoo1,species,364.0,KEGO,CHHY,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1,species,367.0,AHGO,CHPO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1,species,368.0,RHGO,CHRU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Radjah radjah,Radjah Shelduck,radshe1,species,370.0,RASH,RARA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Alopochen aegyptiaca,Egyptian Goose,egygoo,species,373.0,,ALAE,EGGO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Alopochen mauritiana,Mauritius Shelduck,maushe1,species,374.0,MASH,ALMA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,0,anatid1
Alopochen kervazoi,Reunion Shelduck,reushe1,species,375.0,RESH,ALKE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,0,anatid1
Tadorna ferruginea,Ruddy Shelduck,rudshe,species,376.0,RS,TAFE,RUSH,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna cana,South African Shelduck,soashe1,species,378.0,SASH,TACA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna tadornoides,Australian Shelduck,ausshe1,species,379.0,AUSH,TATA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna variegata,Paradise Shelduck,parshe1,species,380.0,PASH,TAVA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna tadorna,Common Shelduck,comshe,species,381.0,COSH,TATA,COMS,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tadorna cristata,Crested Shelduck,creshe1,species,383.0,CRSH,TACR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,1916,anatid1
Plectropterus gambensis,Spur-winged Goose,spwgoo1,species,384.0,SWGO,PLGA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tachyeres patachonicus,Flying Steamer-Duck,flystd1,species,387.0,FLSD FLST FSDU,TAPA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tachyeres pteneres,Flightless Steamer-Duck,flistd1,species,388.0,MAST FSDU FLSD,TAPT,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tachyeres brachypterus,Falkland Steamer-Duck,falstd1,species,390.0,FAST FASD FSDU,TABR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Tachyeres leucocephalus,White-headed Steamer-Duck,whhstd1,species,391.0,CSDU WHSD WHST,TALE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Lophonetta specularioides,Crested Duck,creduc1,species,393.0,CRDU,LOSP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Speculanas specularis,Spectacled Duck,speduc2,species,396.0,SPDU BWDU,SPSP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Cairina moschata,Muscovy Duck,musduc,species,397.0,,CAMO,MUDU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Nettapus pulchellus,Green Pygmy-Goose,grnpyg1,species,400.0,GPGO GRPG,NEPU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Nettapus coromandelianus,Cotton Pygmy-Goose,copgoo1,species,401.0,COPG CPGO CPG,NECO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Nettapus auritus,African Pygmy-Goose,afrpyg1,species,404.0,APGO AFPG,NEAU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Callonetta leucophrys,Ringed Teal,rintea1,species,405.0,RITE,CALE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aix sponsa,Wood Duck,wooduc,species,406.0,CWDU,AISP,WODU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Aix galericulata,Mandarin Duck,manduc,species,408.0,MADU,AIGA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chenonetta jubata,Maned Duck,manduc1,species,410.0,AWDU MADU,CHJU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Chenonetta finschi,Finsch's Duck,finduc1,species,411.0,FIDU,CHFI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,1760,anatid1
Amazonetta brasiliensis,Brazilian Teal,bratea1,species,412.0,BRTE,AMBR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Hymenolaimus malacorhynchos,Blue Duck,bluduc1,species,415.0,BLDU,HYMA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Merganetta armata,Torrent Duck,torduc1,species,416.0,TODU,MEAR,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Salvadorina waigiuensis,Salvadori's Teal,saltea1,species,423.0,SATE,SAWA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Sibirionetta formosa,Baikal Teal,baitea,species,424.0,,SIFO,BATE,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula querquedula,Garganey,gargan,species,425.0,,SPQU,GARG,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula hottentota,Blue-billed Teal,hottea1,species,426.0,HOTE BBTE,SPHO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula versicolor,Silver Teal,siltea1,species,427.0,SITE,SPVE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula puna,Puna Teal,puntea1,species,430.0,PUTE,SPPU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula discors,Blue-winged Teal,buwtea,species,431.0,,SPDI,BWTE,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula cyanoptera,Cinnamon Teal,cintea,species,432.0,,SPCY,CITE,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula platalea,Red Shoveler,redsho1,species,440.0,RESH,SPPL,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula smithii,Cape Shoveler,capsho1,species,441.0,CASH,SPSM,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula rhynchotis,Australian Shoveler,aussho1,species,442.0,AUSH,SPRH,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Spatula clypeata,Northern Shoveler,norsho,species,443.0,KM NOSH,SPCL,NSHO,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca strepera,Gadwall,gadwal,species,447.0,,MAST,GADW,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca falcata,Falcated Duck,falduc,species,451.0,,MAFA,FADU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca penelope,Eurasian Wigeon,eurwig,species,454.0,,MAPE,EUWI,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca americana,American Wigeon,amewig,species,456.0,,MAAM,AMWI,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca sibilatrix,Chiloe Wigeon,chiwig1,species,463.0,CHWI,MASI,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Mareca marecula,Amsterdam Duck,amsduc1,species,464.0,AMWI AMDU,MAMA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,true,1793,anatid1
Anas sparsa,African Black Duck,afbduc1,species,465.0,ABDU,ANSP,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas undulata,Yellow-billed Duck,yebduc1,species,468.0,YBDU,ANUN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas melleri,Meller's Duck,melduc1,species,471.0,MEDU,ANME,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas superciliosa,Pacific Black Duck,pabduc1,species,472.0,GRDU PBDU,ANSU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas laysanensis,Laysan Duck,layduc,species,475.0,LADU,ANLA,LAYD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas wyvilliana,Hawaiian Duck,hawduc,species,476.0,KM HADU,ANWY,HAWD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas luzonica,Philippine Duck,phiduc1,species,477.0,PHDU,ANLU,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1,species,478.0,ISBD,ANPO,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas zonorhyncha,Eastern Spot-billed Duck,spbduc,species,481.0,CSBD,ANZO,ESBD,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas platyrhynchos,Mallard,mallar3,species,483.0,,ANPL,MALL,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas diazi,Mexican Duck,mexduc,species,502.0,MD,ANDI,MEDU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas rubripes,American Black Duck,ambduc,species,505.0,,ANRU,ABDU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas fulvigula,Mottled Duck,motduc,species,509.0,MD,ANFU,MODU,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas capensis,Cape Teal,captea1,species,518.0,CATE,ANCA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas bahamensis,White-cheeked Pintail,whcpin,species,519.0,WCPI,ANBA,WCHP,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas erythrorhyncha,Red-billed Duck,rebduc1,species,525.0,RBDU RBTE,ANER,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas acuta,Northern Pintail,norpin,species,526.0,KM,ANAC,NOPI,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas eatoni,Eaton's Pintail,eatpin1,species,533.0,EAPI SOPI,ANEA,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas georgica,Yellow-billed Pintail,yebpin1,species,536.0,YBPI,ANGE,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas crecca,Green-winged Teal,gnwtea,species,541.0,EUTE COTE EWTE GWT,ANCR,GWTE,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
Anas andium,Andean Teal,spetea3,species,554.0,ANTE,ANAN,,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae,,,,anatid1
